time_s,angle_rad,x_m,y_m,z_m,velocity_m_s,path_length_m,emf_V,current_A,power_W,cumulative_energy_J,ball_mass_kg
13.94,21.898725689328298,-0.09151955039836948,0.00848266767408222,-0.10455871322610216,8.510428394823693,2.6515321300315207,3.8057847569034574e-06,3.8057847569034573e-07,1.4483997615878708e-12,0.9697253930619567,0.03288200310757317
13.942,21.9018675438031,-0.09153744912192596,0.008194342088482158,-0.10457371447620635,8.511649403201716,2.651821399879796,3.3450380924125697e-06,3.34503809241257e-07,1.1189279839691123e-12,0.9697253930619589,0.03288200310757317
13.944,21.905009398277898,-0.09155443958791672,0.007905987774493707,-0.10458871572631052,8.512870411579739,2.6521106435899005,2.9380568430512164e-06,2.938056843051216e-07,8.632178013000079e-13,0.9697253930619607,0.03288200310757317
13.946,21.908151252752692,-0.09157052179252648,0.0076176075929447334,-0.10460371697641468,8.514091419957762,2.6523998611618422,2.578823390723238e-06,2.578823390723238e-07,6.650330080541298e-13,0.969725393061962,0.03288200310757317
13.948,21.911293107227486,-0.09158569574095016,0.007329204404403096,-0.10461871822651887,8.515312428335784,2.65268905259563,2.261961914606782e-06,2.261961914606782e-07,5.116471703131579e-13,0.969725393061963,0.03288200310757317
13.950000000000001,21.914434961702284,-0.09159996144739112,0.007040781069148594,-0.10463371947662305,8.516533436713807,2.652978217891273,1.9826737493375664e-06,1.9826737493375665e-07,3.930995196312283e-13,0.9697253930619638,0.03288200310757317
13.952,21.91757681617708,-0.09161331893505936,0.006752340447145584,-0.10464872072672723,8.51775444509183,2.6532673570487786,1.7366788109536342e-06,1.7366788109536342e-07,3.0160532924153287e-13,0.9697253930619644,0.03288200310757317
13.954,21.920718670651876,-0.09162576823616983,0.006463885398012343,-0.1046637219768314,8.518975453469853,2.6535564700681555,1.5201625709248855e-06,1.5201625709248854e-07,2.3108942420409574e-13,0.9697253930619648,0.03288200310757317
13.956,21.92386052512667,-0.09163730939194034,0.006175418780995312,-0.10467872322693557,8.520196461847876,2.653845556949412,1.3297280976584806e-06,1.3297280976584805e-07,1.7681768137024416e-13,0.9697253930619651,0.03288200310757317
13.958,21.927002379601465,-0.09164794245258966,0.005886943454938493,-0.10469372447703976,8.521417470225899,2.654134617692556,1.1623527215601293e-06,1.1623527215601294e-07,1.3510638493182397e-13,0.9697253930619654,0.03288200310757317
13.96,21.930144234076263,-0.09165766747733532,0.00559846227825608,-0.10470872572714392,8.522638478603922,2.654423652297597,1.0153489141766909e-06,1.0153489141766909e-07,1.0309334175197852e-13,0.9697253930619656,0.03288200310757317
13.962,21.933286088551057,-0.09166648453439143,0.005309978108905119,-0.10472372697724809,8.523859486981944,2.6547126607645417,8.863290041758906e-07,8.863290041758906e-08,7.855791036434258e-14,0.9697253930619657,0.03288200310757317
13.964,21.936427943025855,-0.09167439370096635,0.005021493804354912,-0.10473872822735228,8.525080495359967,2.6550016430934003,7.731733830588644e-07,7.731733830588644e-08,5.977970802706895e-14,0.9697253930619658,0.03288200310757317
13.966000000000001,21.93956979750065,-0.0916813950632604,0.004733012221561324,-0.10475372947745645,8.52630150373799,2.6552905992841795,6.740018816312651e-07,6.740018816312652e-08,4.5427853644248594e-14,0.9697253930619659,0.03288200310757317
13.968,21.942711651975443,-0.09168748871646326,0.004444536216936205,-0.10476873072756063,8.527522512116013,2.655579529336889,5.871480244549431e-07,5.871480244549431e-08,3.447428026213425e-14,0.969725393061966,0.03288200310757317
13.97,21.94585350645024,-0.0916926747647516,0.004156068646320088,-0.1047837319776648,8.528743520494036,2.6558684332515363,5.1113589388613e-07,5.1113589388613e-08,2.6125990201877316e-14,0.969725393061966,0.03288200310757317
13.972,21.948995360925036,-0.09169695332128613,0.0038676123649548934,-0.10479873322776898,8.529964528872059,2.6561573110281302,4.446593579407019e-07,4.4465935794070186e-08,1.9772194460423722e-14,0.969725393061966,0.03288200310757317
13.974,21.952137215399834,-0.0917003245082092,0.0035791702274533843,-0.10481373447787315,8.531185537250082,2.656446162666679,3.8656343722357743e-07,3.865634372235774e-08,1.494312909981067e-14,0.969725393061966,0.03288200310757317
13.976,21.95527906987463,-0.09170278845664169,0.0032907450877732057,-0.10482873572797732,8.532406545628104,2.6567349881671913,3.358276056030456e-07,3.358276056030456e-08,1.1278018068507474e-14,0.969725393061966,0.03288200310757317
13.978,21.95842092434943,-0.0917043453066803,0.003002339799187335,-0.10484373697808151,8.533627554006127,2.657023787529675,2.915508372828258e-07,2.915508372828258e-08,8.500189072031676e-15,0.969725393061966,0.03288200310757317
13.98,21.961562778824224,-0.09170499520739439,0.002713957214256511,-0.10485873822818569,8.53484856238415,2.6573125607541384,2.529382295252549e-07,2.529382295252549e-08,6.397774795537052e-15,0.969725393061966,0.03288200310757317
13.982000000000001,21.96470463329902,-0.09170473831682299,0.0024256001847997163,-0.10487373947828985,8.536069570762173,2.6576013078405905,2.1928904557959829e-07,2.192890455795983e-08,4.808768551121114e-15,0.969725393061966,0.03288200310757317
13.984,21.967846487773816,-0.09170357480197157,0.0021372715618682573,-0.10488874072839403,8.537290579140196,2.6578900287890392,1.8998603646059422e-07,1.899860364605942e-08,3.609469405000623e-15,0.969725393061966,0.03288200310757317
