time_s,potential_energy_J,kinetic_energy_J,generator_energy_J
0.132,7.823718521413013e+20,2.6162188188554697e+20,3.886305559271351e+19
0.133,7.417288826113098e+20,4.152156585706881e+20,3.9091424204927386e+19
0.134,4.868274018203183e+20,7.240638484278381e+20,3.948965932156269e+19
0.135,1.961067699840842e+20,9.207165375776189e+20,3.9996053417230385e+19
0.136,1.477346710432207e+20,8.069250519630225e+20,4.043986219581005e+19
0.137,3.9058691773379884e+20,5.0363552700584604e+20,4.071686173566326e+19
0.138,6.729308888441346e+20,3.0812219268987054e+20,4.0886328941642695e+19
0.139,7.515382393417129e+20,3.340514280314279e+20,4.107005722705998e+19
0.14,6.65191960389049e+20,4.264550509724048e+20,4.13046075050948e+19
0.14100000000000001,6.02270248304225e+20,4.393914373967127e+20,4.154627279566299e+19
0.14200000000000002,6.190382106083198e+20,4.309714822226488e+20,4.178330711088545e+19
0.14300000000000002,5.800907417665722e+20,5.3808980466120675e+20,4.207925650344912e+19
0.14400000000000002,4.122629883382691e+20,7.31865567462956e+20,4.248178256555374e+19
0.145,2.4235390279460572e+20,8.292017360911317e+20,4.2937843520403866e+19
0.146,2.492732052197073e+20,7.1161242722181e+20,4.332923035537586e+19
0.147,4.570295520122234e+20,4.542899986835096e+20,4.3579089854651785e+19
0.148,7.127978954791968e+20,2.495246936163942e+20,4.37163284361408e+19
0.149,8.28852690416699e+20,2.3986887600375962e+20,4.384825631794287e+19
0.15,7.379311186438221e+20,4.0331549805065844e+20,4.4070079841870725e+19
0.151,5.4464931195432115e+20,5.809044998578101e+20,4.4389577316792525e+19
0.152,4.171418154981501e+20,6.451336284023954e+20,4.4744400812413846e+19
0.153,4.04818687377853e+20,6.34167633890053e+20,4.509319301105337e+19
0.154,4.070273523639685e+20,6.592578228351249e+20,4.545578481361269e+19
0.155,3.5937963577330486e+20,6.983913605913705e+20,4.583990006193794e+19
0.156,3.683514767606e+20,6.080354280309233e+20,4.617431954735495e+19
0.157,5.469993666366423e+20,3.688391754171116e+20,4.637718109383436e+19
0.158,7.892086662367355e+20,1.9190119499873357e+20,4.648272675108366e+19
0.159,8.459065849254516e+20,2.762424119279023e+20,4.6634660077644005e+19
0.16,6.416453416532477e+20,5.433823682590771e+20,4.69335203801865e+19
0.161,3.823347653929935e+20,7.323871479369724e+20,4.733633331155183e+19
0.162,2.978762309582041e+20,7.135140328511743e+20,4.772876602961998e+19
0.163,3.881590120778792e+20,5.985175535091873e+20,4.805795068405003e+19
0.164,4.842508283146534e+20,5.463422974373186e+20,4.835843894764056e+19
0.165,4.9197084054996956e+20,5.6171952570767357e+20,4.866738468677978e+19
0.166,4.856161429043717e+20,5.294077200701012e+20,4.895855893281833e+19
0.167,5.710211131408901e+20,3.98032913055049e+20,4.91774770349986e+19
0.168,7.196429281061922e+20,2.7437553941017965e+20,4.93283835816742e+19
0.169,7.749139537750495e+20,3.176520467553519e+20,4.950309220738965e+19
0.17,6.271421909596469e+20,5.467788331988292e+20,4.980382056564901e+19
0.171,3.644397537245001e+20,7.82545488163174e+20,5.023422058413875e+19
0.17200000000000001,2.1138309949445528e+20,8.176601491110395e+20,5.068393366614983e+19
0.17300000000000001,2.9792286560411825e+20,6.371265571095729e+20,5.103435327256009e+19
0.17400000000000002,5.2202112134327547e+20,4.258532851821216e+20,5.1268572579410256e+19
0.17500000000000002,6.746479278064371e+20,3.5413165312017354e+20,5.1463344988626354e+19
0.176,6.700702442233383e+20,4.0867918275179486e+20,5.168811853913984e+19
0.177,6.010495147394978e+20,4.612240714022857e+20,5.19417917784111e+19
0.178,5.800689280785164e+20,4.5525759384061765e+20,5.219218345502344e+19
0.179,5.916915691758602e+20,4.659273837441539e+20,5.2448443516082725e+19
0.18,5.3588612707629675e+20,5.7356998427695723e+20,5.2763907007435055e+19
0.181,3.906835035668152e+20,7.227123246480494e+20,5.316139878599148e+19
0.182,2.807199194652635e+20,7.542032417693823e+20,5.3576210568964645e+19
0.183,3.484546291865352e+20,5.935634709643695e+20,5.390267047799505e+19
0.184,5.673380077815291e+20,3.6961010194297415e+20,5.410595603406369e+19
0.185,7.404259861273231e+20,2.8756081137085022e+20,5.426411448031765e+19
0.186,7.196138484382138e+20,3.915006675823068e+20,5.447943984748792e+19
0.187,5.749164308589961e+20,5.2843282126843976e+20,5.477007789918556e+19
0.188,4.8183762286526235e+20,5.658589498556142e+20,5.508130032160615e+19
0.189,4.8567430096239146e+20,5.512631484358447e+20,5.538449505324587e+19
0.19,4.798563537710568e+20,5.936398832168413e+20,5.571099698901513e+19
0.191,4.070379039282841e+20,6.706126868816004e+20,5.607983396680001e+19
0.192,3.6047415329895095e+20,6.580046046775561e+20,5.644173649937267e+19
0.193,4.429414496755398e+20,5.166399382335278e+20,5.672588846540111e+19
0.194,6.140035336402591e+20,3.5310218995674146e+20,5.692009466987732e+19
0.195,7.308824480012316e+20,2.961781530860392e+20,5.708299265407464e+19
0.196,7.134015006771017e+20,3.846589306184753e+20,5.72945550659148e+19
0.197,5.6971156644415753e+20,5.575150532997713e+20,5.760118834522967e+19
